"gr:network","gr:site","gr:siteType","gr:wgs84Longitude","gr:wgs84Latitude"
"Nile North Atbarah","292fe7e8-4ff5-40d2-bb11-86b306c3d781","monitored",35.3677839668,15.7653003231
"Nile North Atbarah","d1ed0bca-c08b-4b14-990e-53e92c59492b","monitored",32.4186471112,19.1675950162
"Nile North Atbarah","2e4bc213-c32b-4b6f-b359-62103198404c","monitored",32.5386875562,19.45433497
"Nile North Atbarah","9e5cff54-6935-4cbf-89ba-b2fd0c72651a","monitored",34.8016193553,17.1149160462
"Nile North Atbarah","5be8560a-42e1-405b-b976-3cb13a304fb0","monitored",33.1071687278,19.8807576796
"Nile North Atbarah","90cb4309-f61d-4480-8f60-2095900ed3d2","monitored",30.6184395617,18.0068903862
"Nile North Atbarah","aca19be3-6b7c-4071-97a0-9438bb2639e8","monitored",35.7088925659,15.2133134639
"Nile North Atbarah","a2a33c76-1136-4f86-aa04-b3beed2b8468","monitored",30.2828261529,20.7245148329
"Nile North Atbarah","06c0dc77-d080-4d43-8979-e5fbfad495b1","monitored",33.8721606285,18.9347404738
"Nile North Atbarah","84859e79-e499-40c3-9cd7-631efd5dafbe","monitored",35.6908105956,14.499288338
"Nile North Atbarah","88a78f4b-119b-4026-b571-d2034d5e0a8e","visited",34.0163465002,17.3648835425
"Nile North Atbarah","49dab672-7ca8-48be-a752-bfb24200b9a4","visited",33.6848289979,19.0674017708
"Nile North Atbarah","4cea29a1-8546-496f-af14-e4c6a8d8115e","visited",33.7515492737,17.8927229432
"Nile North Atbarah","ff14326c-2795-47a3-8393-8cedfbf7f3e8","visited",33.8648840069,17.7079292444
"Nile North Atbarah","437cebc2-4f18-4667-8ba2-15d9a0f9726d","visited",30.3385495019,20.1091670719
"Nile North Atbarah","2db217dd-d41b-4e67-bc67-386b734783a3","visited",36.2023034479,14.5881645056
"Nile North Atbarah","64bc4da7-53ef-4a79-9967-52d2bda117bf","visited",31.1996810345,21.1850182857
"Nile North Atbarah","3eba777c-90d8-4598-bb80-3449a00fadc2","visited",32.5611612983,19.0851531007
"Nile North Atbarah","a18f7a76-83e4-43c8-8910-391c2fb85a11","visited",31.2458414626,18.4146752449
"Nile North Atbarah","24449ceb-96be-467f-a913-37a9287dc604","visited",35.8195537918,14.3721515355
"Nile North Atbarah","9c531849-6276-41fd-9000-78b2d58c733a","visited",34.0955739012,17.9354498938
"Nile North Atbarah","5fceb2b5-aa4d-42ac-925f-1236e40afdab","visited",30.6384453203,18.0205426756
"Nile North Atbarah","587baaef-c25b-4e39-b0b6-4ea973122557","visited",33.6623282224,19.5594579824
"Nile North Atbarah","db8a26aa-af5a-4940-8525-07db80e8e492","visited",30.7632710492,18.2413966255
"Nile North Atbarah","136813bc-27c3-4e8e-a8d3-ef73ef801b89","visited",31.9513691154,18.4134217333
"Nile North Atbarah","72127b7f-f2af-4f49-8947-41d686459f22","visited",30.4370016732,20.3043351279
"Nile North Atbarah","0a45de4f-eac4-4107-a7a7-6b6d33ea1b42","visited",34.8250803858,16.0360968909
"Nile North Atbarah","d2d691d5-fc12-40a2-93d8-7bc798ff06b2","visited",32.6926460048,19.2862276752
"Nile North Atbarah","efb7aa1d-bbf0-49c2-889a-f391ee936f35","visited",35.1491410129,17.0847946926
"Nile North Atbarah","78e205df-0894-4bfb-8a14-39977f7639db","visited",32.3394026168,18.6304216994
"Nile North Atbarah","d61f31f9-5fcb-45d4-8960-568c35ed284d","visited",30.2843467868,19.6486022031
"Nile North Atbarah","32582ae3-8976-46cb-9297-229eff5bb3f8","visited",31.2988672206,17.7671121529
"Nile North Atbarah","a60c7f67-e948-4b7f-b3ad-cab452e4ef70","visited",32.1490320851,19.2030688068
