Language family,Language name,Native name,639-1,639-2/T,639-2/B,639-3,639-6,Notes
Afro-Asiatic,Afar,Afaraf,aa,aar,aar,aar,aars,
Northwest Caucasian,Abkhaz,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk,abk,abks,
Indo-European,Avestan,avesta,ae,ave,ave,ave,,ancient
Indo-European,Afrikaans,Afrikaans,af,afr,afr,afr,afrs,
Niger–Congo,Akan,Akan,ak,aka,aka,aka + 2,,"macrolanguage, Twi is [tw/twi], Fanti is [fat]"
Afro-Asiatic,Amharic,አማርኛ,am,amh,amh,amh,,
Indo-European,Aragonese,aragonés,an,arg,arg,arg,,
Afro-Asiatic,Arabic,العربية,ar,ara,ara,ara + 30,,"macrolanguage, Standard Arabic is [arb]"
Indo-European,Assamese,অসমীয়া,as,asm,asm,asm,,
Northeast Caucasian,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava,ava,,
Aymaran,Aymara,aymar aru,ay,aym,aym,aym + 2,,macrolanguage
Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,aze + 2,,macrolanguage
Turkic,Bashkir,башҡорт теле,ba,bak,bak,bak,,
Indo-European,Belarusian,беларуская мова,be,bel,bel,bel,,
Indo-European,Bulgarian,български език,bg,bul,bul,bul,buls,
Indo-European,Bihari,भोजपुरी,bh,bih,bih,–,,"Collective language code for Bhojpuri, Magahi, and Maithili"
Creole,Bislama,Bislama,bi,bis,bis,bis,,
Niger–Congo,Bambara,bamanankan,bm,bam,bam,bam,,
Indo-European,Bengali; Bangla,বাংলা,bn,ben,ben,ben,,
Sino-Tibetan,"Tibetan Standard, Tibetan, Central",བོད་ཡིག,bo,bod,tib,bod,,
Indo-European,Breton,brezhoneg,br,bre,bre,bre,,
Indo-European,Bosnian,bosanski jezik,bs,bos,bos,bos,boss,
Indo-European,Catalan; Valencian,"català, valencià",ca,cat,cat,cat,,
Northeast Caucasian,Chechen,нохчийн мотт,ce,che,che,che,,
Austronesian,Chamorro,Chamoru,ch,cha,cha,cha,,
Indo-European,Corsican,"corsu, lingua corsa",co,cos,cos,cos,,
Algonquian,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,cre + 6,,macrolanguage
Indo-European,Czech,"čeština, český jazyk",cs,ces,cze,ces,,
Indo-European,"Old Church Slavonic, Church Slavic, Church Slavonic, Old Bulgarian, Old Slavonic",ѩзыкъ словѣньскъ,cu,chu,chu,chu,,ancient
Turkic,Chuvash,чӑваш чӗлхи,cv,chv,chv,chv,,
Indo-European,Welsh,Cymraeg,cy,cym,wel,cym,,
Indo-European,Danish,dansk,da,dan,dan,dan,,
Indo-European,German,Deutsch,de,deu,ger,deu,deus,
Indo-European,Divehi; Dhivehi; Maldivian;,ދިވެހި,dv,div,div,div,,
Sino-Tibetan,Dzongkha,རྫོང་ཁ,dz,dzo,dzo,dzo,,
Niger–Congo,Ewe,Eʋegbe,ee,ewe,ewe,ewe,,
Indo-European,"Greek, Modern",ελληνικά,el,ell,gre,ell,ells,
Indo-European,English,English,en,eng,eng,eng,engs,
Constructed,Esperanto,Esperanto,eo,epo,epo,epo,,constructed
Indo-European,Spanish; Castilian,"español, castellano",es,spa,spa,spa,,
Uralic,Estonian,"eesti, eesti keel",et,est,est,est + 2,,macrolanguage
