people:legalName,people:legalForm,people:vatIdNb,people:tags,people:mailingLists,people:emailAddress,people:phoneNb,people:faxNb,people:websiteUrl,people:street,people:streetComplement,people:zipCode,people:city,people:country
23 Filmproduktion GmbH,GmbH,,Film Production,Generic Newsletter,,,,www.23film.de,Methfesselstr.23,,10965,Berlin,Germany
Around the World Underground Film Festival,,,Film Festival,"Public Newsletter, Venues",mail@berlinbabylon14.net,,,aroundtheworld.org,Handjerystr. 81,c/o Jelly Press ,12159,Berlin,Germany
Blue Media Filmproduktion GmbH,GmbH,,Film Production,Public Newsletter,,+49 30 31 99 06 0,+49 30 31 99 06 345,www.blue-media.de,Kantstraße 13 (Ecke Fasanenstraße),,10623 ,Berlin,Germany
Babylon Cinema,,,Cinema,"Public Newsletter, Venues",,,,www.babyloncinema.de,Rosa-Luxemburg-Str. 30 ,,10178 ,Berlin,Germany
Symbiont Film GmbH,GmbH,,Film Production,,office@symbiontfilm.de,+49 30 257 624 0,+49 30 257 624 22,www.symbiontfilm.de,Schiffbauerdamm 13,,10117,Berlin,Germany
Müllermeinerschulze Film AG,AG,,Film Production,"Generic Newsletter, Jury",contact@egolitossell.com,+49 30 246565 0,+49 30 246565 24,www.mms.com,Torstrasse 164,,10115,Berlin,Germany
Katholischer Mediendienst,,,"Radio, Press",,rundfunkdienst@ekbo.de,,,www.mediendienst.kkd.de,Georgenkirchstr. 69,,10249,Berlin,Germany
Berlin Filmakademie,,,Film School,"Generic Newsletter, Jury",info@filmakademie-berlin.de,+49 7141 969 0,+49 7141 969 299,www.filmakademie-berlin.de,Akademiehof 10,,71638 ,Ludwigsburg,Germany
Filmship e.V. Berlin,e.V,,Film School,,info@filmarche.de,+49 30 616 26 911,+49 30 364 61 780,www.filmship.de,Schlesische Str. 26,,10997,Berlin,Germany
FilmFestivalSupport Berlin,,,"Film Production, Press",Public Newsletter,contact@filmfestivallife.com,+49 171 8753611,,www.filmfestivalsupport.com,"Kiefholzstr. 1, K1",,12435,Berlin,Germany
Media Fund Berlin,,,,Public Newsletter,,,,www.medienfonds.berlin.de,c/o Der Regierende Bürgermeister von Berlin - Senatskanzlei - Kulturelle Angelegenheiten ,Brunnenstr. 188/190,10119,Berlin,Germany
Film und TV Universität,,,Film School,Public Newsletter,info@fatvu.com,+49 331 6202 0,+49 331 6202 199,www.fatvu.com,Marlene-Dietrich-Allee 11,,14482,Potsdam-Babelsberg,Germany
Internationale Filmfestspiele Potsdam,,,Film Festival,,,,,www.filmfest-potsdam.de,Potsdamer Str. 5,,10785,Berlin,Germany
Internationale Rostocker Filmwochen GmbH,GmbH,,Film Festival,Generic Newsletter,,,,www.filmfest-rostock.de,Sonnenstr. 21,,80331,Rostock,Germany
Works good! Medien GmbH,GmbH,,Film Production,Generic Newsletter,,,,www.worksgoodmedien.de,Gneiststr. 10,,10437,Berlin,Germany
Jim Hering Filmproduktion,,,Film Production,Generic Newsletter,,,,www.jimhering.com,Winterfeldstraße 31,,10781,Berlin,Germany
Kaminski Film GmbH,GmbH,,Film Production,Generic Newsletter,info@kaminskifilm.de,,,www.kaminskifilm.de,Gormannstr. 14,,10119 ,Berlin,Germany
Weydel and Co. Medien GmbH,GmbH,,Film Production,Generic Newsletter,info@weydelundco.de,,,www.weydelundco.de,Schlesische Strasse 29/30,,10997 ,Berlin,Germany
Kulturstiftung der Länder,Behörde,,Film Fund,Generic Newsletter,info@kulturstiftung-bund.de,+49 345 29 97 0,+49 345 29 97 333,www.kulturstiftung-laender.de,Franckeplatz 1,,06110 ,Halle an der Saale ,Germany
Major World Sales GmbH,GmbH,,"Distributor, Film Production","Generic Newsletter, Public Newsletter",info@majorsales.de,,,www.majorsales.de,Bleidigstraße 10,,10123,Berlin,Germany
lady events VIP Service,,,Service,Generic Newsletter,office@lady-events.de,,,www.lady-events.de,Office 1004,Rathausstraße 13,10178 ,Berlin,Germany
Media Consult Berlin GmbH,GmbH,,Film Fund,Generic Newsletter,,,,www.mediaconsult.de,August-Bebel-Str. 26-53 ,,14285,Potsdam-Babelsberg,Germany
Minni von Schuber Film,,,Film Production,Generic Newsletter,liebe@minnischuber.de,,,www.minnischuber.de,Konstanzer Str. 56,,10721,Berlin,Germany
sabotage clips GmbH,GmbH,,Film Production,Generic Newsletter,mail@sabotage-clips.de,+49 30 44030890,+49 30 44030899,www.sabotage-clips.de,Kastanienallee 26,,10129,Berlin,Germany
Salt & Pepper Medien GmbH,GmbH,,"Distributor, Sales Agent",Generic Newsletter,info@saltnpepper.de,,,www.saltnpepper.de,Mehringdamm 33,,10961,Berlin,Germany
Lemon Produktion und Verleih GmbH,GmbH,,"Film Production, Distributor",,office@lemonfilm.de,,,lemonfilm.de,Gaudystr. 28,,10407,Berlin,Germany
Studio Oranienburg AG,AG,,"Film Studio, Film Production",,info@studiooranienburg.com,+49 331 721 00 00,+49 331 721 20 52 ,www.studiooranienburg.com,August-Bebel-Straße 26-53,,14402,Potsdam ,Germany
onemanshow Television and Film GmbH,GmbH,,Film Production,,info@onemanshow.de,+49 30 88 56 59 30,+49 30 88 56 59 11,www.onemanshow.de,Mommsenstr. 13,,10229,Berlin,Germany
Gloomy Sunday GmbH,GmbH,,Film Production,,office@gloomysunday.com,,,gloomysunday.com,Swinemuender Str. 12,,10405,Berlin,Germany
Twenty Seven Film Produktion Ltd.,Limited,,Film Production,,,,,www.twentysevenfilm.eu,Schwedter Straße 19,,10109,Berlin,Germany
Venus Film GmbH,GmbH,,Film Production,,,,,www.venus-film.de,Günterslebener Straße 2,,67291,Thüngersheim,Germany
Desert Filmproduktion,,,Film Production,Generic Newsletter,,,,www.desertfilm.de,Schulterblatt 5,,22351,Hamburg,Germany
WSBY TV,,,"TV, Press","Generic Newsletter, Venues",,,,www.wsby-tv.de,WSBY-Straße 1,,25100,Hamburg,Germany
Brick & Stone Film GmbH & Co.KG,,,Film Production,Generic Newsletter,info@brickandstone-film.de,+49 30 320 90 50,+49 30 320 90 567,www.brickandstone-film.de,Kantstraße 4,,12057,Berlin,Germany
City Mag,Verein,,Press,,redaktion@citymag.de,+49 30 25 90 09 27,+49 30 25 90 09 75,www.citymag.de,Askanische Str. 8,,10960,Berlin,Germany
Zoom In Service GmbH,GmbH,,"Service, Marketing","Generic Newsletter, Venues",office@zoominservice.de,,,www.zoominservice.de,Suarezstr. 12,,12051,Berlin,Germany
Passage Kino,e.V,,"Movie theater, Cinema",Venues,passage_kino08@yahoo.de,+49 30 123 456 8,+49 30 123 456 0,www.yorck.de,"Karlmarx Str, 12",,12051,Berlin,Germany
Cineplex Neukölln,,,"Movie theater, Cinema","Generic Newsletter, Venues",info@cineplux.de,+49 30 63 72 39,+49 30 63 72 38,www.neukoelln-arcaden.de,Karl-Marx-Straße 66,,12053,Berlin,Germany
