"Country","WebMeasureIndex","InfrastructureIndex","E-GovernmentReadinessIndex","Internet/100users","PC/100users","CellularSubscribers/100users","MainTelephoneLines/100users","Broadband/100users","AdultLiteracy","GrossEnrolment","EducationIndex"
"Afghanistan",0.27,0.02,0.2,1.72,0.32,8.11,0.53,0,28,42.77,0.33
"Albania",0.39,0.13,0.47,14.98,1.73,48.89,11.3,0.01,98.7,68.64,0.89
"Algeria",0.22,0.12,0.35,7.38,1.06,62.95,8.52,0.59,69.9,73.67,0.71
"Andorra",0.28,0.41,0.52,32.65,NA,96.14,52.78,15.4,99,62.59,0.87
"Angola",0.44,0.02,0.33,0.55,0.7,14.33,0.62,0,67.4,25.6,0.53
"AntiguaandBarbuda",0.14,0.39,0.45,35.59,14.85,105.55,44.77,7.02,85.8,76,0.83
"Argentina",0.56,0.25,0.58,20.91,9.07,80.52,24.17,4.01,97.2,89.71,0.95
"Armenia",0.27,0.09,0.42,5.75,9.85,10.54,19.71,0.07,99.4,70.85,0.9
"Australia",0.75,0.69,0.81,75.12,76.61,97.02,48.81,19.15,99,100,0.99
"Austria",0.67,0.6,0.74,51.19,61.12,112.8,43.44,17.4,99,91.91,0.97
"Azerbaijan",0.39,0.11,0.46,9.79,2.31,39.23,14.03,0.03,98.8,67.08,0.88
"Bahamas",0.3,0.3,0.49,31.88,12.38,70.5,41.19,4.14,95.8,70.83,0.87
"Bahrain",0.52,0.33,0.57,21.3,17.62,121.71,26.18,5.23,86.5,86.09,0.86
"Bangladesh",0.35,0.02,0.29,0.31,2.42,13.25,0.79,0,47.5,56.01,0.5
"Barbados",0.3,0.45,0.57,59.48,14.87,76.65,50.14,11.87,99.7,88.86,0.96
"Belarus",0.33,0.28,0.52,56.47,0.81,61.44,34.72,0.12,99.6,88.71,0.96
"Belgium",0.54,0.52,0.68,45.66,37.62,92.55,45.21,19.13,99,95.13,0.98
"Belize",0.3,0.16,0.41,12.36,15.19,43.01,12.32,2.04,75.1,81.84,0.77
"Benin",0.12,0.04,0.19,8.04,0.43,12.13,0.89,0,34.7,50.67,0.4
"Bhutan",0.41,0.02,0.31,3.09,1.6,4.67,4.04,NA,47,52,0.49
"Bolivia",0.52,0.07,0.49,6.2,2.4,28.85,7.13,0.14,86.7,86.02,0.86
"BosniaandHerzegovina",0.29,0.19,0.45,24.28,5.43,48.25,25.28,1.02,96.7,69,0.87
"Botswana",0.22,0.11,0.36,3.4,4.87,55.68,7.78,0.09,81.2,69.53,0.77
"Brazil",0.6,0.22,0.57,22.55,16.09,52.9,20.54,3.14,88.6,87.52,0.88
"BruneiDarussalam",0.26,0.27,0.47,43.35,8.82,66.51,20.99,2.74,92.7,77.72,0.88
"Bulgaria",0.48,0.31,0.57,24.38,6.34,107.59,31.28,5.01,98.2,81.46,0.93
"BurkinaFaso",0.19,0.01,0.15,0.59,0.24,7.46,0.7,0.01,23.6,29.35,0.25
"Burundi",0.01,0.01,0.18,0.77,0.73,2.03,0.41,0,59.3,37.93,0.52
"Cambodia",0.2,0.01,0.3,0.31,0.31,7.94,0.23,0.01,73.6,59.99,0.69
"Cameroon",0.14,0.03,0.27,2.23,1.23,13.8,0.61,0,67.9,62.33,0.66
"Canada",0.77,0.7,0.82,67.89,87.31,52.51,64.12,23.57,99,99.23,0.99
"CapeVerde",0.39,0.1,0.42,6.09,11.56,20.99,13.8,0.35,81.2,66.45,0.76
"CentralAfricanRep.",0,0,0.14,0.32,0.3,2.48,0.25,0,48.6,29.82,0.42
"Chad",0.01,0.01,0.1,0.6,0.16,4.65,0.13,0,25.7,37.46,0.3
"Chile",0.56,0.27,0.58,25.24,14.75,75.62,20.2,5.94,95.7,82.91,0.91
"China",0.51,0.16,0.5,10.35,4.22,34.83,27.79,3.85,90.9,69.13,0.84
"Colombia",0.56,0.17,0.53,14.49,4.15,64.31,17,1.36,92.8,75.06,0.87
"Comoros",0.03,0.01,0.19,2.56,0.68,2.01,2.12,0,56.8,46.41,0.53
"Congo",0.07,0.02,0.27,1.7,0.48,12.25,0.4,0,84.7,51.4,0.74
"CostaRica",0.44,0.23,0.51,27.61,23.11,32.82,30.72,1.34,94.9,72.98,0.88
"Coted'Ivoire",0.06,0.04,0.19,1.63,1.78,22.03,1.41,0.01,48.7,39.62,0.46
"Croatia",0.43,0.37,0.57,34.6,19.42,98.11,40.22,5.53,98.1,73.46,0.9
"Cuba",0.21,0.03,0.4,2.13,3.35,1.35,8.61,NA,99.8,87.56,0.96
"Cyprus",0.48,0.43,0.6,42.22,33.41,92.06,48.34,5.87,96.8,77.56,0.9
"CzechRepublic",0.65,0.43,0.67,34.69,27.4,119.01,31.48,10.64,99,82.86,0.94
"DemocraticPeople'sRep.ofKorea",0.02,0.01,NA,0,NA,NA,4.4,0,NA,NA,NA
"DemocraticRepublicoftheCongo",0.09,0.01,0.22,0.3,0.02,7.44,0.02,0,67.2,33.67,0.56
"Denmark",1,0.74,0.91,58.23,69.46,107.25,56.89,31.73,99,100,0.99
"Djibouti",0.11,0.02,0.23,1.36,2.75,6.37,1.56,0.01,70.3,25.33,0.55
"Dominica",0.01,0.27,0.37,28.75,18.23,58.68,29.4,4.56,88,80.97,0.86
"DominicanRepublic",0.51,0.15,0.49,22.17,2.32,51.05,9.94,0.74,87,74.11,0.83
"Ecuador",0.44,0.15,0.48,11.54,6.55,63.23,13.07,0.2,91,75,0.86
"Egypt",0.61,0.09,0.48,7.95,3.78,23.86,14.33,0.27,71.4,76.88,0.73
"ElSalvador",0.58,0.14,0.5,9.26,5.09,55.03,14.81,0.61,80.6,70.41,0.77
"EquatorialGuinea",0.06,0.04,0.29,1.55,1.79,19.26,1.99,0.04,87,58.07,0.77
"Eritrea",0.06,0.01,0.2,2.19,0.57,1.36,0.82,0,60.5,35.27,0.52
"Estonia",0.71,0.6,0.76,57.36,48.91,125.19,40.9,17.22,99.8,92.43,0.97
"Ethiopia",0.17,0,0.19,0.21,0.39,1.09,0.91,0,35.9,42.08,0.38
"Fiji",0.27,0.1,0.42,9.36,5.9,24.17,13.27,0.83,94.4,74.79,0.88
"Finland",0.63,0.62,0.75,55.6,50.01,107.76,36.49,27.14,99,100,0.99
"France",0.83,0.6,0.8,49.57,57.86,85.08,55.82,20.91,99,96.55,0.98
"Gabon",0.08,0.1,0.32,5.76,3.25,54.39,2.59,0.08,84,72.41,0.8
"Gambia",0.17,0.05,0.23,3.82,1.65,25.99,3.4,0,42.5,50.13,0.45
"Georgia",0.35,0.11,0.46,7.49,4.7,38.43,12.47,0.61,100,76.3,0.92
"Germany",0.58,0.62,0.71,46.67,60.47,101.92,65.53,17.03,99,87.96,0.95
"Ghana",0.29,0.04,0.3,2.7,0.58,23.09,1.58,0.06,57.9,53.44,0.56
"Greece",0.41,0.34,0.57,18.38,9.17,99.62,55.52,4.38,96,98.95,0.97
"Grenada",0.27,0.21,0.45,18.64,15.65,45.53,26.65,3.13,96,73.09,0.88
"Guatemala",0.47,0.12,0.43,10.22,2.08,55.6,10.49,0.22,69.1,67.28,0.69
"Guinea",0.07,0.01,0.14,0.52,0.56,2.36,0.33,0,29.5,45.09,0.35
"Guinea-Bissau",0.02,0.02,0.15,2.26,0.22,7.1,0.76,0,44.8,36.67,0.42
"Guyana",0.24,0.14,0.44,21.3,3.86,37.45,14.66,0.27,99,85.04,0.94
"Haiti",0.06,0.03,0.21,7.51,0.19,5.87,1.7,0,54.8,53,0.54
"Honduras",0.37,0.07,0.4,4.58,1.67,30.44,9.62,0,80,71.2,0.77
"Hungary",0.62,0.37,0.65,34.75,14.9,98.95,33.27,9.7,99.4,89.33,0.96
"Iceland",0.46,0.72,0.72,65.3,48.3,110.58,65.21,29.53,99,95.37,0.98
"India",0.48,0.04,0.38,5.44,1.54,14.83,3.64,0.21,61,63.82,0.62
"Indonesia",0.33,0.07,0.41,7.18,1.47,28.3,6.57,0.05,90.4,68.21,0.83
"Iran(IslamicRep.of)",0.26,0.17,0.41,25.54,10.53,19.38,31.19,0.66,82.4,72.81,0.79
"Iraq",0.11,0.01,0.27,0.14,0.83,2.22,4,0,74.1,59.56,0.69
"Ireland",0.68,0.52,0.73,34.13,52.99,111.4,49.81,12.29,99,99.95,0.99
"Israel",0.67,0.61,0.74,27.74,73.4,122.74,43.88,20.75,97.1,89.62,0.95
"Italy",0.51,0.54,0.67,49.63,36.99,123.08,43.12,14.86,98.4,90.64,0.96
"Jamaica",0.32,0.29,0.47,46.48,6.75,105.78,12.03,1.7,79.9,77.93,0.79
"Japan",0.74,0.62,0.77,68.27,67.45,79.32,43.02,20.09,99,85.85,0.95
"Jordan",0.61,0.17,0.55,13.65,6.22,74.4,10.52,0.83,91.1,78.05,0.87
"Kazakhstan",0.32,0.13,0.47,8.42,NA,52.86,19.77,0.21,99.5,93.77,0.98
"Kenya",0.3,0.05,0.35,7.89,1.44,18.47,0.84,0,73.6,60.57,0.69
"Kiribati",0.07,0.02,NA,2.15,1.18,0.68,5.11,0,NA,75.05,NA
"Kuwait",0.41,0.28,0.52,29.53,22.33,88.57,18.99,0.93,93.3,74.87,0.87
"Kyrgyzstan",0.3,0.05,0.42,5.6,1.9,10.29,8.37,0.05,98.7,77.73,0.92
"LaoPeople'sDemocraticRepublic",0.04,0.02,0.24,0.42,1.69,10.77,1.27,0,68.7,61.5,0.66
"Latvia",0.45,0.37,0.59,46.65,24.53,95.13,28.64,4.78,99.7,90.22,0.97
"Lebanon",0.39,0.19,0.48,26.28,11.45,30.53,18.85,4.7,88.3,84.58,0.87
"Lesotho",0.34,0.03,0.38,2.87,0.08,13.92,2.67,0,82.2,66.01,0.77
"Liberia",0.11,0.01,0.22,0.03,NA,4.87,0.21,0,51.9,57.41,0.54
"LibyanArabJamahiriya",0.08,0.12,0.35,3.96,2.22,65.81,8.09,0,84.2,94.15,0.87
"Liechtenstein",0.19,0.52,0.55,63.22,NA,79.03,57.5,24.76,99,86.37,0.95
"Lithuania",0.61,0.41,0.66,31.69,17.98,138.06,23.19,10.79,99.6,91.44,0.97
"Luxembourg",0.61,0.73,0.75,72.01,62.37,151.61,52.4,19.8,99,76.7,0.92
"Madagascar",0.24,0.01,0.31,0.58,0.55,5.47,0.68,0,70.7,59.69,0.67
"Malawi",0.22,0.01,0.29,0.45,0.19,3.33,0.8,0,64.1,63.11,0.64
"Malaysia",0.68,0.3,0.61,43.77,21.54,75.45,16.83,3.48,88.7,74.33,0.84
"Maldives",0.29,0.2,0.45,6.64,14.86,87.88,10.88,1.57,96.3,65.84,0.86
"Mali",0.18,0.02,0.16,0.5,0.4,10.87,0.59,0.02,24,36.68,0.28
"Malta",0.73,0.39,0.66,31.73,16.61,85.96,50.16,10.44,87.9,80.94,0.86
"MarshallIslands",0.07,0.05,NA,3.51,8.77,1.13,8.27,0,NA,71.13,NA
"Mauritania",0.06,0.06,0.2,3.17,2.56,33.57,1.1,0.02,51.2,45.61,0.49
"Mauritius",0.47,0.24,0.51,24.1,16.87,61.5,28.45,1.74,84.3,75.34,0.81
"Mexico",0.71,0.2,0.59,16.9,13.08,52.63,18.33,3.44,91.6,75.61,0.86
"Micronesia(FederatedStatesof)",0.08,0.08,NA,14.39,5.41,12.7,11.22,0.04,NA,NA,NA
